repository,commit,architecture_smell,refactoring_type,rank
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Move Method,2
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Attribute Access Modifier,3
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Attribute Type,4
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Class Access Modifier,5
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Method Access Modifier,6
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Parameter Type,7
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Change Thrown Exception Type,8
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Inline Variable,9
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Move And Rename Class,10
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Move Class,11
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Remove Attribute Modifier,12
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Remove Parameter Modifier,13
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Rename Attribute,14
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Rename Method,15
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Rename Parameter,16
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Rename Variable,17
tika,aceff84889da091010bcd893809427428a8b68a6,Large Component,Replace Attribute With Variable,18
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Move Class,1
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Move Method,2
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Attribute Access Modifier,3
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Attribute Type,4
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Class Access Modifier,5
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Method Access Modifier,6
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Parameter Type,7
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Change Thrown Exception Type,8
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Extract Method,9
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Inline Variable,10
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Move And Rename Class,11
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Remove Attribute Modifier,12
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Remove Parameter Modifier,13
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Rename Attribute,14
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Rename Method,15
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Rename Parameter,16
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Rename Variable,17
tika,aceff84889da091010bcd893809427428a8b68a6,Excessive Package Coupling,Replace Attribute With Variable,18
tika,d064cb2f7ffd58893e05e327144816ddee6842da,Cyclic Dependency,Move Class,1
tika,d064cb2f7ffd58893e05e327144816ddee6842da,Hub-like Dependency,Move Class,1
tika,d064cb2f7ffd58893e05e327144816ddee6842da,Large Component,Move Class,1
tika,d064cb2f7ffd58893e05e327144816ddee6842da,Excessive Package Coupling,Move Class,1
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Cyclic Dependency,Move Class,1
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Cyclic Dependency,Merge Package,2
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Cyclic Dependency,Move And Rename Class,3
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Hub-like Dependency,Move Class,1
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Hub-like Dependency,Merge Package,2
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Hub-like Dependency,Move And Rename Class,3
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Large Component,Merge Package,1
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Large Component,Move And Rename Class,2
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Large Component,Move Class,3
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Excessive Package Coupling,Move Class,1
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Excessive Package Coupling,Merge Package,2
tika,3fb58b7b5dc6381b8bc717663ae7d3fd517394cd,Excessive Package Coupling,Move And Rename Class,3
tika,e759bbbc8afcc8d490562eb08c14a10c509adc20,Cyclic Dependency,Rename Class,1
tika,e759bbbc8afcc8d490562eb08c14a10c509adc20,Hub-like Dependency,Rename Class,1
tika,e759bbbc8afcc8d490562eb08c14a10c509adc20,Large Component,Rename Class,1
tika,e759bbbc8afcc8d490562eb08c14a10c509adc20,Excessive Package Coupling,Rename Class,1
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Add Attribute Modifier,1
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Change Attribute Type,2
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Change Parameter Type,3
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Change Variable Type,4
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Inline Variable,5
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Invert Condition,6
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Move And Inline Method,7
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Remove Parameter,8
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Cyclic Dependency,Rename Variable,9
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Add Attribute Modifier,1
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Change Attribute Type,2
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Change Parameter Type,3
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Change Variable Type,4
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Inline Variable,5
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Invert Condition,6
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Move And Inline Method,7
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Remove Parameter,8
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Hub-like Dependency,Rename Variable,9
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Add Attribute Modifier,1
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Change Attribute Type,2
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Change Parameter Type,3
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Change Variable Type,4
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Inline Variable,5
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Invert Condition,6
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Move And Inline Method,7
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Remove Parameter,8
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Large Component,Rename Variable,9
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Add Attribute Modifier,1
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Change Attribute Type,2
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Change Parameter Type,3
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Change Variable Type,4
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Inline Variable,5
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Invert Condition,6
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Move And Inline Method,7
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Remove Parameter,8
tika,9fce256813d12e7aeef73bfc6ed3896ad414dc24,Excessive Package Coupling,Rename Variable,9
tika,b0a87ad5afe05da5087209062c229a53921ca3bf,Cyclic Dependency,Rename Method,1
tika,b0a87ad5afe05da5087209062c229a53921ca3bf,Hub-like Dependency,Rename Method,1
tika,b0a87ad5afe05da5087209062c229a53921ca3bf,Large Component,Rename Method,1
tika,b0a87ad5afe05da5087209062c229a53921ca3bf,Excessive Package Coupling,Rename Method,1
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Change Attribute Type,1
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Change Return Type,2
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Change Variable Type,3
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Inline Variable,4
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Rename Attribute,5
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Rename Method,6
tika,580824e1088af50d5556e2a01d71311a42a74edc,Cyclic Dependency,Rename Variable,7
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Change Attribute Type,1
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Change Return Type,2
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Change Variable Type,3
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Inline Variable,4
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Rename Attribute,5
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Rename Method,6
tika,580824e1088af50d5556e2a01d71311a42a74edc,Hub-like Dependency,Rename Variable,7
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Change Attribute Type,1
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Change Return Type,2
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Change Variable Type,3
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Inline Variable,4
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Rename Attribute,5
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Rename Method,6
tika,580824e1088af50d5556e2a01d71311a42a74edc,Large Component,Rename Variable,7
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Change Attribute Type,1
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Change Return Type,2
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Change Variable Type,3
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Inline Variable,4
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Rename Attribute,5
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Rename Method,6
tika,580824e1088af50d5556e2a01d71311a42a74edc,Excessive Package Coupling,Rename Variable,7
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Cyclic Dependency,Extract Interface,1
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Cyclic Dependency,Pull Up Attribute,2
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Hub-like Dependency,Extract Interface,1
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Hub-like Dependency,Pull Up Attribute,2
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Large Component,Extract Interface,1
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Large Component,Pull Up Attribute,2
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Excessive Package Coupling,Extract Interface,1
tika,a8d1e675a2c18e67b534df31823214d8c917c07c,Excessive Package Coupling,Pull Up Attribute,2
maven,0abaebbe2917f4757859e6bf5b05da7e13a843b0,Excessive Package Coupling,Extract Method,1
maven,0abaebbe2917f4757859e6bf5b05da7e13a843b0,Excessive Package Coupling,Rename Attribute,2
maven,072609e0b3788efd42acaf3394f7a41ed8326cfa,Excessive Package Coupling,Rename Class,1
maven,b36d96471545150e531d2b26ff1ebc31e41754e7,Excessive Package Coupling,Move Class,1
maven,b36d96471545150e531d2b26ff1ebc31e41754e7,Excessive Package Coupling,Move And Rename Class,2
camel,9c15e67cde9c4d17f2dfba9c9a3fc3a3dbb9d401,Cyclic Dependency,Move Source Folder,1
camel,9c15e67cde9c4d17f2dfba9c9a3fc3a3dbb9d401,Large Component,Move Source Folder,1
camel,9c15e67cde9c4d17f2dfba9c9a3fc3a3dbb9d401,Excessive Package Coupling,Move Source Folder,1
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Cyclic Dependency,Change Attribute Type,1
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Cyclic Dependency,Change Parameter Type,2
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Cyclic Dependency,Change Return Type,3
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Cyclic Dependency,Move And Rename Class,4
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Cyclic Dependency,Rename Package,5
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Large Component,Change Attribute Type,1
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Large Component,Change Parameter Type,2
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Large Component,Change Return Type,3
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Large Component,Move And Rename Class,4
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Large Component,Rename Package,5
camel,d5e6b38aee4c69c2a1c06f032dad88a41d5e3e86,Excessive Package Coupling,Change Attribute Type,1
